code#municipality#county#population#total area#density (per km 2 land)
0114#upplands väsby municipality#stockholm county#38914#84.28 km2 (32.54)#516.31
0760#uppvidinge municipality#kronoberg county#9347#1232.64 km 2 (475.92 sqmi)#7.93
0761#lessebo municipality#kronoberg county#8085#458.54 km 2 (177.04 sqmi)#19.49
0763#tingsryd municipality#kronoberg county#12502#1213.02 km 2 (468.35 sqmi)#11.91
0764#alvesta municipality#kronoberg county#18775#1076.56 km 2 (415.66 sqmi)#19.21
0765#älmhult municipality#kronoberg county#15411#983.28 km 2 (379.65 sqmi)#17.21
0767#markaryd municipality#kronoberg county#9600#535.63 km 2 (206.81 sqmi)#18.45
0780#växjö municipality#kronoberg county#81074#1924.99 km 2 (743.24 sqmi)#48.44
0781#ljungby municipality#kronoberg county#27430#2003.98 km 2 (773.74 sqmi)#15.60
0821#högsby municipality#kalmar county#5930#802.65 km 2 (309.9 sqmi)#7.86
0834#torsås municipality#kalmar county#7076#472.30 km 2 (182.36 sqmi)#15.03
0840#mörbylånga municipality#kalmar county#13737#671.21 km 2 (259.16 sqmi)#20.51
0860#hultsfred municipality#kalmar county#14046#1193.03 km 2 (460.63 sqmi)#12.46
0861#mönsterås municipality#kalmar county#12956#610.29 km 2 (235.63 sqmi)#21.52
0862#emmaboda municipality#kalmar county#9331#722.42 km 2 (278.93 sqmi)#13.48
0880#kalmar municipality#kalmar county#61693#965.20 km 2 (372.67 sqmi)#64.15
0881#nybro municipality#kalmar county#19557#1207.17 km 2 (466.09 sqmi)#16.61
0882#oskarshamn municipality#kalmar county#26309#1102.75 km 2 (425.77 sqmi)#24.94
0883#västervik municipality#kalmar county#36356#2035.36 km 2 (785.86 sqmi)#19.32
0884#vimmerby municipality#kalmar county#15551#1225.90 km 2 (473.32 sqmi)#13.58
0885#borgholm municipality#kalmar county#10855#683.80 km 2 (264.02 sqmi)#15.96
0980#gotland municipality#gotland county#57004#3183.72 km 2 (1229.24 sqmi)#18.09
1060#olofström municipality#blekinge county#13167#415.43 km 2 (160.4 sqmi)#33.60
1080#karlskrona municipality#blekinge county#62804#1075.67 km 2 (415.32 sqmi)#59.99
1081#ronneby municipality#blekinge county#28489#866.03 km 2 (334.38 sqmi)#34.33
1082#karlshamn municipality#blekinge county#30959#511.08 km 2 (197.33 sqmi)#63.01
1083#sölvesborg municipality#blekinge county#16840#186.89 km 2 (72.16 sqmi)#90.30
1214#svalöv municipality#skåne county#13184#391.10 km 2 (151 sqmi)#33.77
1230#staffanstorp municipality#skåne county#21667#107.89 km 2 (41.66 sqmi)#201.35
1231#burlöv municipality#skåne county#16230#18.90 km 2 (7.3 sqmi)#861.46
1233#vellinge municipality#skåne county#32843#144.17 km 2 (55.66 sqmi)#229.38
1256#östra göinge municipality#skåne county#13662#453.40 km 2 (175.06 sqmi)#31.42
1257#örkelljunga municipality#skåne county#9592#331.46 km 2 (127.98 sqmi)#29.84
1260#bjuv municipality#skåne county#14613#116.44 km 2 (44.96 sqmi)#125.79
1261#kävlinge municipality#skåne county#28255#154.45 km 2 (59.63 sqmi)#183.68
1262#lomma municipality#skåne county#20449#56.13 km 2 (21.67 sqmi)#367.52
1263#svedala municipality#skåne county#19390#227.58 km 2 (87.87 sqmi)#88.55
1264#skurup municipality#skåne county#14784#196.07 km 2 (75.7 sqmi)#75.75
1265#sjöbo municipality#skåne county#18093#509.23 km 2 (196.61 sqmi)#36.50
1266#hörby municipality#skåne county#14757#435.20 km 2 (168.03 sqmi)#34.91
1267#höör municipality#skåne county#15039#321.69 km 2 (124.21 sqmi)#51.33
1270#tomelilla municipality#skåne county#12816#399.44 km 2 (154.22 sqmi)#32.14
1272#bromölla municipality#skåne county#12200#186.24 km 2 (71.91 sqmi)#74.67
1273#osby municipality#skåne county#12648#601.94 km 2 (232.41 sqmi)#21.86
1275#perstorp municipality#skåne county#6972#162.79 km 2 (62.85 sqmi)#43.63
1276#klippan municipality#skåne county#16336#381.35 km 2 (147.24 sqmi)#43.39
1277#åstorp municipality#skåne county#14533#93.18 km 2 (35.98 sqmi)#156.34
1278#båstad municipality#skåne county#14203#218.82 km 2 (84.49 sqmi)#65.04
1280#malmö municipality#skåne county#286535#156.46 km 2 (60.41 sqmi)#1841.96
1281#lund municipality#skåne county#107351#442.87 km 2 (170.99 sqmi)#249.50
1282#landskrona municipality#skåne county#40860#153.43 km 2 (59.24 sqmi)#289.46
1283#helsingborg municipality#skåne county#126754#347.23 km 2 (134.07 sqmi)#366.08
1284#höganäs municipality#skåne county#24248#144.53 km 2 (55.8 sqmi)#168.05
1285#eslöv municipality#skåne county#31123#426.51 km 2 (164.68 sqmi)#73.81
1286#ystad municipality#skåne county#27870#356.74 km 2 (137.74 sqmi)#79.08
1287#trelleborg municipality#skåne county#41558#343.88 km 2 (132.77 sqmi)#121.49
1290#kristianstad municipality#skåne county#77977#1346.00 km 2 (519.69 sqmi)#62.30
1291#simrishamn municipality#skåne county#19356#394.89 km 2 (152.47 sqmi)#49.10
1292#ängelholm municipality#skåne county#38854#433.40 km 2 (167.34 sqmi)#91.95
1293#hässleholm municipality#skåne county#50006#1314.16 km 2 (507.4 sqmi)#39.17
1315#hylte municipality#halland county#10273#1052.37 km 2 (406.32 sqmi)#10.80
1380#halmstad municipality#halland county#90241#1036.43 km 2 (400.17 sqmi)#88.46
1381#laholm municipality#halland county#23258#907.02 km 2 (350.2 sqmi)#26.18
1382#falkenberg municipality#halland county#40451#1162.10 km 2 (448.69 sqmi)#36.27
1383#varberg municipality#halland county#56673#913.86 km 2 (352.84 sqmi)#64.83
1384#kungsbacka municipality#halland county#72676#646.79 km 2 (249.73 sqmi)#118.86
1401#härryda municipality#västra götaland county#33580#292.83 km 2 (113.06 sqmi)#125.10
1402#partille municipality#västra götaland county#33802#59.35 km 2 (22.92 sqmi)#591.05
1407#öckerö municipality#västra götaland county#12250#26.03 km 2 (10.05 sqmi)#472.79
1415#stenungsund municipality#västra götaland county#23657#267.64 km 2 (103.34 sqmi)#93.31
1419#tjörn municipality#västra götaland county#14963#168.96 km 2 (65.24 sqmi)#88.94
1421#orust municipality#västra götaland county#15327#393.49 km 2 (151.93 sqmi)#39.40
1427#sotenäs municipality#västra götaland county#9170#140.43 km 2 (54.22 sqmi)#65.89
1430#munkedal municipality#västra götaland county#10245#672.10 km 2 (259.5 sqmi)#16.05
1435#tanum municipality#västra götaland county#12271#961.21 km 2 (371.13 sqmi)#13.29
1438#dals - ed municipality#västra götaland county#4788#830.90 km 2 (320.81 sqmi)#6.56
1439#färgelanda municipality#västra götaland county#6744#622.34 km 2 (240.29 sqmi)#11.37
1440#ale municipality#västra götaland county#27323#333.25 km 2 (128.67 sqmi)#85.85
1441#lerum municipality#västra götaland county#38085#310.20 km 2 (119.77 sqmi)#146.32
1442#vårgårda municipality#västra götaland county#10976#443.53 km 2 (171.25 sqmi)#25.60
1443#bollebygd municipality#västra götaland county#8232#284.34 km 2 (109.78 sqmi)#31.07
1444#grästorp municipality#västra götaland county#5851#281.44 km 2 (108.66 sqmi)#22.02
1445#essunga municipality#västra götaland county#5625#236.87 km 2 (91.46 sqmi)#23.86
1446#karlsborg municipality#västra götaland county#6790#801.48 km 2 (309.45 sqmi)#16.64
1447#gullspång municipality#västra götaland county#5371#558.09 km 2 (215.48 sqmi)#17.02
1452#tranemo municipality#västra götaland county#11721#781.62 km 2 (301.79 sqmi)#15.75
1460#bengtsfors municipality#västra götaland county#9897#1066.03 km 2 (411.6 sqmi)#11.13
1461#mellerud municipality#västra götaland county#9442#949.83 km 2 (366.73 sqmi)#18.33
1462#lilla edet municipality#västra götaland county#12831#344.17 km 2 (132.88 sqmi)#40.36
1463#mark municipality#västra götaland county#33807#1017.78 km 2 (392.97 sqmi)#36.21
1465#svenljunga municipality#västra götaland county#10313#992.75 km 2 (383.3 sqmi)#11.14
1466#herrljunga municipality#västra götaland county#9280#512.22 km 2 (197.77 sqmi)#18.54
1470#vara municipality#västra götaland county#15868#703.66 km 2 (271.68 sqmi)#22.66
1471#götene municipality#västra götaland county#13085#625.73 km 2 (241.6 sqmi)#32.17
1472#tibro municipality#västra götaland county#10662#235.51 km 2 (90.93 sqmi)#48.45
1473#töreboda municipality#västra götaland county#9256#594.75 km 2 (229.63 sqmi)#17.02
1480#gothenburg municipality#västra götaland county#500197#465.22 km 2 (179.62 sqmi)#1109.80
1481#mölndal municipality#västra götaland county#59812#153.22 km 2 (59.16 sqmi)#407.41
1482#kungälv municipality#västra götaland county#40268#372.69 km 2 (143.9 sqmi)#110.40
1484#lysekil municipality#västra götaland county#14659#210.73 km 2 (81.36 sqmi)#69.83
1485#uddevalla municipality#västra götaland county#51186#654.63 km 2 (252.75 sqmi)#79.74
1486#strömstad municipality#västra götaland county#11607#481.85 km 2 (186.04 sqmi)#24.62
1487#vänersborg municipality#västra götaland county#36991#904.30 km 2 (349.15 sqmi)#57.13
1488#trollhättan municipality#västra götaland county#54487#430.24 km 2 (166.12 sqmi)#132.21
1489#alingsås municipality#västra götaland county#37247#554.59 km 2 (214.13 sqmi)#78.43
1490#borås municipality#västra götaland county#101487#972.98 km 2 (375.67 sqmi)#110.89
1491#ulricehamn municipality#västra götaland county#22706#1122.21 km 2 (433.29 sqmi)#21.60
1492#åmål municipality#västra götaland county#12545#894.93 km 2 (345.53 sqmi)#25.92
1493#mariestad municipality#västra götaland county#23825#1509.82 km 2 (582.94 sqmi)#39.55
1494#lidköping municipality#västra götaland county#37922#1378.43 km 2 (532.21 sqmi)#53.93
1495#skara municipality#västra götaland county#18518#450.24 km 2 (173.84 sqmi)#42.08
1496#skövde municipality#västra götaland county#50610#688.03 km 2 (265.65 sqmi)#74.82
1497#hjo municipality#västra götaland county#8809#587.40 km 2 (226.8 sqmi)#29.52
1498#tidaholm municipality#västra götaland county#12693#525.02 km 2 (202.71 sqmi)#24.39
1499#falköping municipality#västra götaland county#31349#1071.41 km 2 (413.67 sqmi)#29.67
1715#kil municipality#värmland county#11674#409.32 km 2 (158.04 sqmi)#32.37
1730#eda municipality#värmland county#8653#900.90 km 2 (347.84 sqmi)#10.48
1737#torsby municipality#värmland county#12707#4385.17 km 2 (1693.12 sqmi)#3.03
1760#storfors municipality#värmland county#4383#475.07 km 2 (183.43 sqmi)#11.14
1761#hammarö municipality#värmland county#14655#421.98 km 2 (162.93 sqmi)#257.56
1762#munkfors municipality#värmland county#3814#148.64 km 2 (57.39 sqmi)#26.80
1763#forshaga municipality#värmland county#11415#399.33 km 2 (154.18 sqmi)#32.59
1764#grums municipality#värmland county#9250#481.86 km 2 (186.05 sqmi)#23.94
1765#årjäng municipality#värmland county#9952#1663.92 km 2 (642.44 sqmi)#7.01
1766#sunne municipality#värmland county#13473#1457.07 km 2 (562.58 sqmi)#10.39
1780#karlstad municipality#värmland county#83994#1571.53 km 2 (606.77 sqmi)#72.08
1781#kristinehamn municipality#värmland county#23958#1392.37 km 2 (537.6 sqmi)#32.03
1782#filipstad municipality#värmland county#10682#1721.72 km 2 (664.76 sqmi)#6.92
1783#hagfors municipality#värmland county#12804#2012.19 km 2 (776.91 sqmi)#6.98
1784#arvika municipality#värmland county#26176#1968.55 km 2 (760.06 sqmi)#15.77
1785#säffle municipality#värmland county#15784#2512.49 km 2 (970.08 sqmi)#12.93
1814#lekeberg municipality#örebro county#7111#484.18 km 2 (186.94 sqmi)#15.26
1860#laxå municipality#örebro county#5870#740.79 km 2 (286.02 sqmi)#9.71
1861#hallsberg municipality#örebro county#15256#673.84 km 2 (260.17 sqmi)#23.83
1862#degerfors municipality#örebro county#9839#436.15 km 2 (168.4 sqmi)#25.51
1863#hällefors municipality#örebro county#7361#1157.23 km 2 (446.81 sqmi)#7.44
1864#ljusnarsberg municipality#örebro county#5129#634.59 km 2 (245.02 sqmi)#8.86
1880#örebro municipality#örebro county#132277#1628.83 km 2 (628.89 sqmi)#95.84
1881#kumla municipality#örebro county#20157#206.87 km 2 (79.87 sqmi)#98.16
1882#askersund municipality#örebro county#11386#1025.21 km 2 (395.84 sqmi)#13.89
1883#karlskoga municipality#örebro county#29872#513.22 km 2 (198.16 sqmi)#63.47
1884#nora municipality#örebro county#10375#694.71 km 2 (268.23 sqmi)#16.68
1885#lindesberg municipality#örebro county#23099#1488.65 km 2 (574.77 sqmi)#16.70
1904#skinnskatteberg municipality#västmanland county#4622#721.86 km 2 (278.71 sqmi)#6.98
1907#surahammar municipality#västmanland county#10062#371.14 km 2 (143.3 sqmi)#29.16
1960#kungsör municipality#västmanland county#8170#227.80 km 2 (87.95 sqmi)#40.19
1961#hallstahammar municipality#västmanland county#15014#181.88 km 2 (70.22 sqmi)#87.75
1962#norberg municipality#västmanland county#5749#450.20 km 2 (173.82 sqmi)#13.70
1980#västerås municipality#västmanland county#134684#1143.00 km 2 (441.31 sqmi)#139.89
1981#sala municipality#västmanland county#21365#1211.14 km 2 (467.62 sqmi)#18.19
1982#fagersta municipality#västmanland county#12267#312.13 km 2 (120.51 sqmi)#45.31
1983#köping municipality#västmanland county#24740#648.88 km 2 (250.53 sqmi)#40.71
1984#arboga municipality#västmanland county#13301#421.67 km 2 (162.81 sqmi)#40.64
2021#vansbro municipality#dalarna county#6916#1667.17 km 2 (643.7 sqmi)#4.47
2023#malung - sälen municipality#dalarna county#10385#4339.31 km 2 (1675.42 sqmi)#2.53
2026#gagnef municipality#dalarna county#10107#813.96 km 2 (314.27 sqmi)#13.14
2029#leksand municipality#dalarna county#15288#1419.12 km 2 (547.93 sqmi)#12.47
2031#rättvik municipality#dalarna county#10850#2149.09 km 2 (829.77 sqmi)#5.62
2034#orsa municipality#dalarna county#6990#1808.13 km 2 (698.12 sqmi)#4.01
2039#älvdalen municipality#dalarna county#7287#7189.45 km 2 (2775.86 sqmi)#1.05
2061#smedjebacken municipality#dalarna county#10734#1063.77 km 2 (410.72 sqmi)#11.25
2062#mora municipality#dalarna county#20153#3129.23 km 2 (1208.2 sqmi)#7.13
2080#falun municipality#dalarna county#55297#2288.32 km 2 (883.53 sqmi)#26.95
2081#borlänge municipality#dalarna county#48185#638.93 km 2 (246.69 sqmi)#82.12
2082#säter municipality#dalarna county#10957#627.87 km 2 (242.42 sqmi)#19.09
2083#hedemora municipality#dalarna county#15259#934.04 km 2 (360.63 sqmi)#18.17
2084#avesta municipality#dalarna county#21937#672.70 km 2 (259.73 sqmi)#35.63
2085#ludvika municipality#dalarna county#25522#1657.04 km 2 (639.79 sqmi)#17.03
2101#ockelbo municipality#gävleborg county#6027#1135.54 km 2 (438.43 sqmi)#5.63
2104#hofors municipality#gävleborg county#9896#448.27 km 2 (173.08 sqmi)#24.07
2121#ovanåker municipality#gävleborg county#11647#2028.41 km 2 (783.17 sqmi)#6.18
2132#nordanstig municipality#gävleborg county#9736#1464.28 km 2 (565.36 sqmi)#7.05
2161#ljusdal municipality#gävleborg county#19133#5643.01 km 2 (2178.78 sqmi)#3.62
2180#gävle municipality#gävleborg county#93509#1808.17 km 2 (698.14 sqmi)#57.90
2181#sandviken municipality#gävleborg county#36879#1304.51 km 2 (503.67 sqmi)#31.59
2182#söderhamn municipality#gävleborg county#25987#1178.03 km 2 (454.84 sqmi)#24.40
2183#bollnäs municipality#gävleborg county#26189#1986.90 km 2 (767.15 sqmi)#14.38
2184#hudiksvall municipality#gävleborg county#36905#2757.54 km 2 (1064.69 sqmi)#14.78
2260#ånge municipality#västernorrland county#10323#3315.36 km 2 (1280.07 sqmi)#3.36
2262#timrå municipality#västernorrland county#17980#827.56 km 2 (319.52 sqmi)#22.82
2280#härnösand municipality#västernorrland county#24716#1107.72 km 2 (427.69 sqmi)#23.22
2281#sundsvall municipality#västernorrland county#94955#3472.62 km 2 (1340.79 sqmi)#29.59
2282#kramfors municipality#västernorrland county#19473#1796.73 km 2 (693.72 sqmi)#11.42
2283#sollefteå municipality#västernorrland county#20538#5797.16 km 2 (2238.3 sqmi)#3.78
2284#örnsköldsvik municipality#västernorrland county#55387#6788.72 km 2 (2621.14 sqmi)#8.63
2303#ragunda municipality#jämtland county#5681#2649.55 km 2 (1023 sqmi)#2.25
2305#bräcke municipality#jämtland county#7009#3807.08 km 2 (1469.92 sqmi)#2.04
2309#krokom municipality#jämtland county#14324#6856.60 km 2 (2647.35 sqmi)#2.30
2313#strömsund municipality#jämtland county#12532#11857.36 km 2 (4578.15 sqmi)#1.19
2321#åre municipality#jämtland county#10259#8292.67 km 2 (3201.82 sqmi)#1.41
2326#berg municipality#jämtland county#7533#6184.45 km 2 (2387.83 sqmi)#1.31
2361#härjedalen municipality#jämtland county#10645#11934.65 km 2 (4607.99 sqmi)#0.94
2380#östersund municipality#jämtland county#58914#2515.89 km 2 (971.39 sqmi)#26.53
2401#nordmaling municipality#västerbotten county#7276#1277.94 km 2 (493.42 sqmi)#5.87
2403#bjurholm municipality#västerbotten county#2516#1372.42 km 2 (529.89 sqmi)#1.91
2404#vindeln municipality#västerbotten county#5613#2867.06 km 2 (1106.98 sqmi)#2.12
2409#robertsfors municipality#västerbotten county#6900#1322.90 km 2 (510.77 sqmi)#5.30
2417#norsjö municipality#västerbotten county#4363#1937.73 km 2 (748.16 sqmi)#2.49
2418#malå municipality#västerbotten county#3369#1739.72 km 2 (671.71 sqmi)#2.09
2421#storuman municipality#västerbotten county#6304#8285.87 km 2 (3199.19 sqmi)#0.85
2422#sorsele municipality#västerbotten county#2733#8012.02 km 2 (3093.46 sqmi)#0.37
2425#dorotea municipality#västerbotten county#2914#2961.87 km 2 (1143.58 sqmi)#1.04
2460#vännäs municipality#västerbotten county#8357#557.75 km 2 (215.35 sqmi)#15.67
2462#vilhelmina municipality#västerbotten county#7220#8794.95 km 2 (3395.75 sqmi)#0.89
2463#åsele municipality#västerbotten county#3180#4574.11 km 2 (1766.07 sqmi)#0.74
2480#umeå municipality#västerbotten county#112728#2414.91 km 2 (932.4 sqmi)#48.35
2481#lycksele municipality#västerbotten county#12477#5930.50 km 2 (2289.78 sqmi)#2.24
2482#skellefteå municipality#västerbotten county#71862#7230.59 km 2 (2791.75 sqmi)#10.48
2505#arvidsjaur municipality#norrbotten county#6665#6169.66 km 2 (2382.12 sqmi)#1.17
2506#arjeplog municipality#norrbotten county#3146#14594.73 km 2 (5635.06 sqmi)#0.25
2510#jokkmokk municipality#norrbotten county#5305#19477.24 km 2 (7520.2 sqmi)#0.30
2513#överkalix municipality#norrbotten county#3715#2946.27 km 2 (1137.56 sqmi)#1.33
2514#kalix municipality#norrbotten county#17162#1911.45 km 2 (738.01 sqmi)#9.46
2518#övertorneå municipality#norrbotten county#4972#2509.21 km 2 (968.81 sqmi)#2.09
2521#pajala municipality#norrbotten county#6429#8124.98 km 2 (3137.07 sqmi)#0.81
2523#gällivare municipality#norrbotten county#18703#16950.53 km 2 (6544.64 sqmi)#1.18
2560#älvsbyn municipality#norrbotten county#8465#1809.79 km 2 (698.76 sqmi)#4.94
2580#luleå municipality#norrbotten county#73406#2250.04 km 2 (868.75 sqmi)#34.79
2581#piteå municipality#norrbotten county#40902#3262.56 km 2 (1259.68 sqmi)#13.14
2582#boden municipality#norrbotten county#27535#4321.00 km 2 (1668.35 sqmi)#6.81
2583#haparanda municipality#norrbotten county#10173#964.78 km 2 (372.5 sqmi)#10.97
2584#kiruna municipality#norrbotten county#23099#20714.66 km 2 (7997.97 sqmi)#1.19
